rank_by_pooled_OOF_MAE,model,OOF_MAE_mean,OOF_MAE_std,OOF_RMSE_mean,OOF_RMSE_std,OOF_R2_mean,OOF_R2_std
1,DummyRegressor (reference),19.138030245548897,0.2779130469577433,23.857552790228063,0.24527259913259453,-0.03234965121734708,0.02129438616358993
2,Random Forest,20.71015979045928,3.1808787066162187,26.387261811262402,5.001921853712561,-0.2990774870018358,0.5151674056636689
3,SVR (RBF),20.923042088798006,1.724519718189383,25.7519962094716,2.2091494355096994,-0.20978848317107848,0.21504441327705529
4,XGBoost,21.861601434871762,4.224491458744504,27.689663744306813,5.702184936741347,-0.4376834668593082,0.6188544870616827
5,Linear Regression (baseline),25.7167462836129,1.420543786456305,31.32197916244876,1.9645810446922,-0.7848486241243775,0.22448556154716492
