fold,n_train,n_test,train_groups,test_groups,test_EE_mean,test_EE_SD,test_has_LAGA_other,train_has_LAGA_other
1,344,86,51,12,76.84011627906976,17.82271138639659,True,True
2,344,86,50,13,58.137325581395345,29.83904222656338,True,True
3,344,86,50,13,60.31302325581393,18.471504290457613,False,True
4,344,86,51,12,67.74337209302325,18.06718628508374,True,True
5,344,86,50,13,60.90441860465117,26.032551008515163,False,True
