rank_by_mean_MAE,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,OOF_R2,OOF_MAE,OOF_RMSE,is_reference_not_a_candidate,cv_strategy,n_splits,target,n_formulations,n_drug_groups
1,Random Forest,-0.07582988127651795,0.5021314361385767,16.695376859995303,2.721485341386696,21.26152881531548,2.687338548001037,0.16968555787222162,16.695376859995303,21.396963297200568,False,GroupKFold(n_splits=5) on drug_group,5,EE,430,63
2,SVR (RBF),-0.19638395619319066,0.4970214532604128,18.33111796320417,1.9624229355221527,22.647731485632676,2.308925256707686,0.06204082677648404,18.331117963204175,22.741694090770103,False,GroupKFold(n_splits=5) on drug_group,5,EE,430,63
3,DummyRegressor (reference),-0.19434518752179247,0.29647760893414243,19.2568082747431,4.3689236869881665,23.586449976590597,5.162631062829899,-0.047605320859358535,19.256808274743104,24.03420125760221,True,GroupKFold(n_splits=5) on drug_group,5,EE,430,63
4,XGBoost,-0.4924049499958866,0.8843787353295903,20.08676126569371,4.225118831289185,24.66242974549119,4.141576081245581,-0.12797392835450383,20.086761265693703,24.939077025838085,False,GroupKFold(n_splits=5) on drug_group,5,EE,430,63
5,Linear Regression (baseline),-1.0911944865912209,0.9869325962501104,24.72017344043074,6.092457336792292,30.04223037909736,7.954359496696877,-0.7286256836579585,24.72017344043074,30.873177260413513,False,GroupKFold(n_splits=5) on drug_group,5,EE,430,63
