EE_quartile,n_groups,drug_mean_EE_range,median_MAE,mean_MAE,mean_signed_error,mean_delta_vs_mean_predictor,n_worse_than_mean_predictor
Q1_lowest_EE,16,0.3-33.0,16.07330626190476,22.49099804871977,20.94516258807162,-28.710385952946922,2
Q2,16,33.5-65.1,15.91000511746031,18.34566733559077,11.050125261265114,0.149093059322711,8
Q3,15,65.3-79.9,17.588563538461543,17.259606135000357,-11.423213841182239,6.428114273155645,11
Q4_highest_EE,16,80.5-98.8,27.10219050000001,32.29767110551881,-32.05881275703946,9.442472823422653,11
