rank_by_mean_MAE,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n_fits_per_model
1,DummyRegressor (reference),-0.10799710925597594,0.18452276158080966,19.82377237468344,3.5685959039397024,24.34238811870593,4.353101772267081,25
2,Random Forest,-0.4545990162196735,1.8912999136429882,20.475310356340334,7.813874329420042,24.958764432844347,8.24121905819586,25
3,SVR (RBF),-0.3862423556196542,0.9180888114793441,21.069052163584534,4.35063397370463,25.530612860861147,4.219404514074546,25
4,XGBoost,-0.6010841746806629,2.0875658193908984,21.32415554765829,8.256488044500948,26.07916662947434,8.486849225202075,25
5,Linear Regression (baseline),-0.9585766208058346,0.9761009527704281,25.900400880601925,4.307226029076664,31.012677513419284,5.944481726115126,25
